============================================================
Configurazione : shallow_high
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca  146 | train 0.57698 | val 0.57382 | AUC 0.7683 | lr 0.02340 | mom 0.965 | 47.0 min
epoca  147 | train 0.57703 | val 0.57363 | AUC 0.7668 | lr 0.02328 | mom 0.966 | 47.3 min
epoca  148 | train 0.57722 | val 0.57193 | AUC 0.7694 | lr 0.02316 | mom 0.966 | 47.6 min
epoca  149 | train 0.57727 | val 0.57667 | AUC 0.7683 | lr 0.02304 | mom 0.967 | 47.9 min
epoca  150 | train 0.57718 | val 0.57915 | AUC 0.7636 | lr 0.02292 | mom 0.967 | 48.1 min
epoca  151 | train 0.57719 | val 0.57579 | AUC 0.7682 | lr 0.02280 | mom 0.968 | 48.4 min
epoca  152 | train 0.57738 | val 0.58042 | AUC 0.7631 | lr 0.02268 | mom 0.968 | 48.7 min
epoca  153 | train 0.57736 | val 0.57475 | AUC 0.7673 | lr 0.02257 | mom 0.968 | 48.9 min
epoca  154 | train 0.57742 | val 0.57345 | AUC 0.7675 | lr 0.02245 | mom 0.969 | 49.2 min
epoca  155 | train 0.57720 | val 0.57507 | AUC 0.7669 | lr 0.02233 | mom 0.969 | 49.5 min
epoca  156 | train 0.57750 | val 0.57810 | AUC 0.7666 | lr 0.02222 | mom 0.970 | 49.7 min
epoca  157 | train 0.57740 | val 0.57384 | AUC 0.7672 | lr 0.02210 | mom 0.970 | 50.0 min
epoca  158 | train 0.57765 | val 0.57449 | AUC 0.7655 | lr 0.02199 | mom 0.971 | 50.3 min
epoca  159 | train 0.57792 | val 0.57978 | AUC 0.7678 | lr 0.02187 | mom 0.971 | 50.7 min
epoca  160 | train 0.57765 | val 0.57591 | AUC 0.7675 | lr 0.02176 | mom 0.972 | 51.0 min
epoca  161 | train 0.57790 | val 0.57292 | AUC 0.7673 | lr 0.02165 | mom 0.972 | 51.3 min
epoca  162 | train 0.57767 | val 0.57366 | AUC 0.7675 | lr 0.02153 | mom 0.972 | 51.6 min
epoca  163 | train 0.57804 | val 0.57282 | AUC 0.7673 | lr 0.02142 | mom 0.973 | 51.9 min
epoca  164 | train 0.57785 | val 0.57162 | AUC 0.7692 | lr 0.02131 | mom 0.973 | 52.3 min
epoca  165 | train 0.57796 | val 0.58301 | AUC 0.7674 | lr 0.02120 | mom 0.974 | 52.6 min
epoca  166 | train 0.57821 | val 0.57940 | AUC 0.7631 | lr 0.02109 | mom 0.974 | 52.9 min
epoca  167 | train 0.57797 | val 0.57951 | AUC 0.7655 | lr 0.02098 | mom 0.975 | 53.2 min
epoca  168 | train 0.57852 | val 0.57301 | AUC 0.7680 | lr 0.02087 | mom 0.975 | 53.4 min
epoca  169 | train 0.57851 | val 0.57611 | AUC 0.7684 | lr 0.02076 | mom 0.976 | 53.7 min
epoca  170 | train 0.57846 | val 0.57185 | AUC 0.7685 | lr 0.02066 | mom 0.976 | 53.9 min
epoca  171 | train 0.57870 | val 0.57712 | AUC 0.7641 | lr 0.02055 | mom 0.977 | 54.2 min
epoca  172 | train 0.57855 | val 0.59813 | AUC 0.7663 | lr 0.02044 | mom 0.977 | 54.4 min
epoca  173 | train 0.57876 | val 0.57607 | AUC 0.7648 | lr 0.02034 | mom 0.977 | 54.7 min
epoca  174 | train 0.57889 | val 0.57491 | AUC 0.7674 | lr 0.02023 | mom 0.978 | 54.9 min
epoca  175 | train 0.57913 | val 0.57402 | AUC 0.7673 | lr 0.02013 | mom 0.978 | 55.2 min
epoca  176 | train 0.57910 | val 0.58490 | AUC 0.7663 | lr 0.02002 | mom 0.979 | 55.4 min
epoca  177 | train 0.57970 | val 0.57588 | AUC 0.7667 | lr 0.01992 | mom 0.979 | 55.7 min
epoca  178 | train 0.58018 | val 0.58846 | AUC 0.7605 | lr 0.01981 | mom 0.980 | 55.9 min
epoca  179 | train 0.57968 | val 0.57738 | AUC 0.7640 | lr 0.01971 | mom 0.980 | 56.2 min
epoca  180 | train 0.57992 | val 0.58411 | AUC 0.7583 | lr 0.01961 | mom 0.981 | 56.5 min
epoca  181 | train 0.58036 | val 0.57578 | AUC 0.7652 | lr 0.01951 | mom 0.981 | 56.7 min
epoca  182 | train 0.57996 | val 0.57430 | AUC 0.7660 | lr 0.01941 | mom 0.981 | 56.9 min
epoca  183 | train 0.58021 | val 0.57555 | AUC 0.7661 | lr 0.01931 | mom 0.982 | 57.2 min
epoca  184 | train 0.58107 | val 0.57778 | AUC 0.7637 | lr 0.01921 | mom 0.982 | 57.4 min
epoca  185 | train 0.58052 | val 0.59227 | AUC 0.7632 | lr 0.01911 | mom 0.983 | 57.7 min
epoca  186 | train 0.58035 | val 0.58442 | AUC 0.7553 | lr 0.01901 | mom 0.983 | 57.9 min
epoca  187 | train 0.58123 | val 0.57535 | AUC 0.7670 | lr 0.01891 | mom 0.984 | 58.2 min
epoca  188 | train 0.58119 | val 0.59350 | AUC 0.7654 | lr 0.01881 | mom 0.984 | 58.4 min
epoca  189 | train 0.58161 | val 0.57325 | AUC 0.7677 | lr 0.01871 | mom 0.985 | 58.7 min
epoca  190 | train 0.58198 | val 0.58270 | AUC 0.7613 | lr 0.01862 | mom 0.985 | 58.9 min
epoca  191 | train 0.58184 | val 0.58538 | AUC 0.7604 | lr 0.01852 | mom 0.986 | 59.2 min
epoca  192 | train 0.58217 | val 0.57881 | AUC 0.7654 | lr 0.01842 | mom 0.986 | 59.4 min
epoca  193 | train 0.58335 | val 0.57623 | AUC 0.7660 | lr 0.01833 | mom 0.986 | 59.7 min
epoca  194 | train 0.58277 | val 0.58103 | AUC 0.7618 | lr 0.01823 | mom 0.987 | 59.9 min
epoca  195 | train 0.58322 | val 0.57734 | AUC 0.7662 | lr 0.01814 | mom 0.987 | 60.1 min
epoca  196 | train 0.58296 | val 0.58372 | AUC 0.7582 | lr 0.01804 | mom 0.988 | 60.4 min
epoca  197 | train 0.58409 | val 0.57678 | AUC 0.7637 | lr 0.01795 | mom 0.988 | 60.6 min
epoca  198 | train 0.58447 | val 0.58757 | AUC 0.7540 | lr 0.01786 | mom 0.989 | 60.9 min
epoca  199 | train 0.58439 | val 0.57979 | AUC 0.7638 | lr 0.01776 | mom 0.989 | 61.1 min
