============================================================
Configurazione : deep_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_complete_seme0

epoca   91 | train 0.45156 | val 0.45287 | AUC 0.8669 | lr 0.008101 | mom 0.941 | 128.9 min
epoca   92 | train 0.45129 | val 0.45457 | AUC 0.8663 | lr 0.007941 | mom 0.941 | 130.3 min
epoca   93 | train 0.45112 | val 0.45152 | AUC 0.8676 | lr 0.007784 | mom 0.941 | 131.7 min
epoca   94 | train 0.45093 | val 0.45287 | AUC 0.8661 | lr 0.007630 | mom 0.942 | 133.1 min
epoca   95 | train 0.45072 | val 0.44890 | AUC 0.8691 | lr 0.007478 | mom 0.942 | 134.5 min
epoca   96 | train 0.45045 | val 0.45340 | AUC 0.8668 | lr 0.007330 | mom 0.943 | 135.9 min
epoca   97 | train 0.45020 | val 0.45099 | AUC 0.8677 | lr 0.007185 | mom 0.943 | 137.4 min
epoca   98 | train 0.45000 | val 0.45168 | AUC 0.8686 | lr 0.007043 | mom 0.944 | 138.8 min
epoca   99 | train 0.44971 | val 0.45091 | AUC 0.8681 | lr 0.006903 | mom 0.944 | 140.2 min
epoca  100 | train 0.44951 | val 0.44943 | AUC 0.8685 | lr 0.006767 | mom 0.945 | 141.6 min
epoca  101 | train 0.44929 | val 0.45101 | AUC 0.8674 | lr 0.006633 | mom 0.945 | 143.0 min
epoca  102 | train 0.44917 | val 0.44993 | AUC 0.8682 | lr 0.006501 | mom 0.945 | 144.4 min
epoca  103 | train 0.44885 | val 0.44966 | AUC 0.8685 | lr 0.006373 | mom 0.946 | 145.9 min
epoca  104 | train 0.44869 | val 0.45019 | AUC 0.8691 | lr 0.006247 | mom 0.946 | 147.3 min
epoca  105 | train 0.44846 | val 0.44962 | AUC 0.8686 | lr 0.006123 | mom 0.947 | 148.7 min
epoca  106 | train 0.44834 | val 0.44871 | AUC 0.8690 | lr 0.006002 | mom 0.947 | 150.1 min
epoca  107 | train 0.44817 | val 0.45451 | AUC 0.8664 | lr 0.005883 | mom 0.948 | 151.5 min
epoca  108 | train 0.44793 | val 0.44775 | AUC 0.8695 | lr 0.005766 | mom 0.948 | 152.9 min
epoca  109 | train 0.44777 | val 0.44860 | AUC 0.8702 | lr 0.005652 | mom 0.949 | 154.4 min
epoca  110 | train 0.44763 | val 0.44931 | AUC 0.8688 | lr 0.005540 | mom 0.949 | 155.8 min
epoca  111 | train 0.44740 | val 0.45169 | AUC 0.8683 | lr 0.005430 | mom 0.950 | 157.2 min
epoca  112 | train 0.44727 | val 0.45065 | AUC 0.8687 | lr 0.005323 | mom 0.950 | 158.6 min
epoca  113 | train 0.44719 | val 0.44794 | AUC 0.8699 | lr 0.005218 | mom 0.950 | 160.0 min
epoca  114 | train 0.44694 | val 0.44865 | AUC 0.8696 | lr 0.005114 | mom 0.951 | 161.4 min
epoca  115 | train 0.44677 | val 0.44748 | AUC 0.8698 | lr 0.005013 | mom 0.951 | 162.8 min
epoca  116 | train 0.44654 | val 0.44653 | AUC 0.8712 | lr 0.004914 | mom 0.952 | 164.3 min
epoca  117 | train 0.44634 | val 0.44887 | AUC 0.8700 | lr 0.004816 | mom 0.952 | 165.7 min
epoca  118 | train 0.44620 | val 0.44849 | AUC 0.8698 | lr 0.004721 | mom 0.953 | 167.1 min
epoca  119 | train 0.44602 | val 0.44812 | AUC 0.8692 | lr 0.004628 | mom 0.953 | 168.5 min
epoca  120 | train 0.44591 | val 0.44823 | AUC 0.8695 | lr 0.004536 | mom 0.954 | 169.9 min
epoca  121 | train 0.44568 | val 0.44911 | AUC 0.8693 | lr 0.004446 | mom 0.954 | 171.3 min
epoca  122 | train 0.44549 | val 0.44646 | AUC 0.8705 | lr 0.004358 | mom 0.954 | 172.8 min
epoca  123 | train 0.44534 | val 0.44721 | AUC 0.8699 | lr 0.004272 | mom 0.955 | 174.2 min
epoca  124 | train 0.44518 | val 0.44591 | AUC 0.8708 | lr 0.004187 | mom 0.955 | 175.6 min
epoca  125 | train 0.44508 | val 0.44785 | AUC 0.8707 | lr 0.004104 | mom 0.956 | 177.0 min
epoca  126 | train 0.44486 | val 0.44806 | AUC 0.8700 | lr 0.004023 | mom 0.956 | 178.4 min
epoca  127 | train 0.44476 | val 0.44712 | AUC 0.8703 | lr 0.003943 | mom 0.957 | 179.8 min
epoca  128 | train 0.44461 | val 0.44517 | AUC 0.8713 | lr 0.003865 | mom 0.957 | 181.3 min
epoca  129 | train 0.44441 | val 0.44735 | AUC 0.8706 | lr 0.003789 | mom 0.958 | 182.7 min
epoca  130 | train 0.44429 | val 0.44597 | AUC 0.8709 | lr 0.003714 | mom 0.958 | 184.1 min
epoca  131 | train 0.44416 | val 0.45031 | AUC 0.8701 | lr 0.003640 | mom 0.959 | 185.5 min
epoca  132 | train 0.44400 | val 0.44526 | AUC 0.8715 | lr 0.003568 | mom 0.959 | 186.9 min
epoca  133 | train 0.44389 | val 0.44516 | AUC 0.8715 | lr 0.003497 | mom 0.959 | 188.3 min
epoca  134 | train 0.44374 | val 0.44477 | AUC 0.8717 | lr 0.003428 | mom 0.960 | 189.8 min
epoca  135 | train 0.44355 | val 0.44675 | AUC 0.8702 | lr 0.003360 | mom 0.960 | 191.2 min
epoca  136 | train 0.44345 | val 0.44736 | AUC 0.8705 | lr 0.003294 | mom 0.961 | 192.6 min
epoca  137 | train 0.44332 | val 0.44500 | AUC 0.8717 | lr 0.003229 | mom 0.961 | 194.0 min
epoca  138 | train 0.44323 | val 0.44457 | AUC 0.8718 | lr 0.003165 | mom 0.962 | 195.4 min
epoca  139 | train 0.44306 | val 0.44611 | AUC 0.8717 | lr 0.003102 | mom 0.962 | 196.8 min
epoca  140 | train 0.44294 | val 0.44536 | AUC 0.8716 | lr 0.003041 | mom 0.963 | 198.3 min
epoca  141 | train 0.44279 | val 0.44528 | AUC 0.8719 | lr 0.002980 | mom 0.963 | 199.7 min
epoca  142 | train 0.44272 | val 0.44530 | AUC 0.8719 | lr 0.002921 | mom 0.963 | 201.1 min
epoca  143 | train 0.44261 | val 0.44386 | AUC 0.8724 | lr 0.002863 | mom 0.964 | 202.5 min
epoca  144 | train 0.44243 | val 0.44410 | AUC 0.8718 | lr 0.002807 | mom 0.964 | 203.9 min
epoca  145 | train 0.44232 | val 0.44312 | AUC 0.8725 | lr 0.002751 | mom 0.965 | 205.3 min
epoca  146 | train 0.44217 | val 0.44311 | AUC 0.8726 | lr 0.002697 | mom 0.965 | 206.7 min
epoca  147 | train 0.44196 | val 0.44387 | AUC 0.8722 | lr 0.002643 | mom 0.966 | 208.2 min
epoca  148 | train 0.44194 | val 0.44652 | AUC 0.8709 | lr 0.002591 | mom 0.966 | 209.6 min
epoca  149 | train 0.44171 | val 0.44705 | AUC 0.8726 | lr 0.002540 | mom 0.967 | 211.0 min
epoca  150 | train 0.44160 | val 0.44819 | AUC 0.8728 | lr 0.002489 | mom 0.967 | 212.4 min
epoca  151 | train 0.44148 | val 0.44440 | AUC 0.8728 | lr 0.002440 | mom 0.968 | 213.8 min
epoca  152 | train 0.44127 | val 0.44352 | AUC 0.8725 | lr 0.002392 | mom 0.968 | 215.2 min
epoca  153 | train 0.44117 | val 0.44617 | AUC 0.8730 | lr 0.002344 | mom 0.968 | 216.7 min
epoca  154 | train 0.44106 | val 0.44324 | AUC 0.8724 | lr 0.002298 | mom 0.969 | 218.1 min
epoca  155 | train 0.44092 | val 0.44127 | AUC 0.8741 | lr 0.002252 | mom 0.969 | 219.5 min
epoca  156 | train 0.44074 | val 0.44119 | AUC 0.8738 | lr 0.002208 | mom 0.970 | 220.9 min
epoca  157 | train 0.44058 | val 0.44277 | AUC 0.8732 | lr 0.002164 | mom 0.970 | 222.3 min
epoca  158 | train 0.44032 | val 0.44151 | AUC 0.8736 | lr 0.002121 | mom 0.971 | 223.7 min
epoca  159 | train 0.44031 | val 0.44403 | AUC 0.8720 | lr 0.002079 | mom 0.971 | 225.2 min
epoca  160 | train 0.44000 | val 0.44468 | AUC 0.8719 | lr 0.002038 | mom 0.972 | 226.6 min
epoca  161 | train 0.43996 | val 0.44180 | AUC 0.8738 | lr 0.001998 | mom 0.972 | 228.0 min
epoca  162 | train 0.43976 | val 0.44323 | AUC 0.8744 | lr 0.001958 | mom 0.972 | 229.4 min
epoca  163 | train 0.43965 | val 0.44657 | AUC 0.8735 | lr 0.001919 | mom 0.973 | 230.8 min
epoca  164 | train 0.43956 | val 0.44038 | AUC 0.8743 | lr 0.001881 | mom 0.973 | 232.2 min
epoca  165 | train 0.43945 | val 0.44131 | AUC 0.8737 | lr 0.001844 | mom 0.974 | 233.7 min
epoca  166 | train 0.43937 | val 0.44156 | AUC 0.8738 | lr 0.001808 | mom 0.974 | 235.1 min
epoca  167 | train 0.43932 | val 0.44198 | AUC 0.8739 | lr 0.001772 | mom 0.975 | 236.5 min
epoca  168 | train 0.43931 | val 0.44278 | AUC 0.8731 | lr 0.001737 | mom 0.975 | 237.9 min
epoca  169 | train 0.43922 | val 0.44542 | AUC 0.8731 | lr 0.001702 | mom 0.976 | 239.3 min
epoca  170 | train 0.43917 | val 0.44009 | AUC 0.8745 | lr 0.001669 | mom 0.976 | 240.7 min
epoca  171 | train 0.43919 | val 0.44218 | AUC 0.8738 | lr 0.001636 | mom 0.977 | 242.2 min
epoca  172 | train 0.43911 | val 0.43965 | AUC 0.8747 | lr 0.001603 | mom 0.977 | 243.6 min
epoca  173 | train 0.43905 | val 0.44152 | AUC 0.8737 | lr 0.001571 | mom 0.977 | 245.0 min
epoca  174 | train 0.43899 | val 0.44331 | AUC 0.8734 | lr 0.001540 | mom 0.978 | 246.4 min
