============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca   66 | train 0.62827 | val 0.62746 | AUC 0.6991 | lr 0.013357 | mom 0.929 | 86.0 min
epoca   67 | train 0.62824 | val 0.62569 | AUC 0.7020 | lr 0.013092 | mom 0.930 | 87.3 min
epoca   68 | train 0.62820 | val 0.62794 | AUC 0.6982 | lr 0.012833 | mom 0.930 | 88.6 min
epoca   69 | train 0.62809 | val 0.62819 | AUC 0.6980 | lr 0.012579 | mom 0.931 | 89.9 min
epoca   70 | train 0.62807 | val 0.62775 | AUC 0.6993 | lr 0.012330 | mom 0.931 | 91.2 min
epoca   71 | train 0.62804 | val 0.62640 | AUC 0.7020 | lr 0.012086 | mom 0.931 | 92.5 min
epoca   72 | train 0.62792 | val 0.62842 | AUC 0.6996 | lr 0.011846 | mom 0.932 | 93.8 min
epoca   73 | train 0.62786 | val 0.62769 | AUC 0.6993 | lr 0.011612 | mom 0.932 | 95.1 min
epoca   74 | train 0.62778 | val 0.62681 | AUC 0.7013 | lr 0.011382 | mom 0.933 | 96.5 min
epoca   75 | train 0.62769 | val 0.62753 | AUC 0.7003 | lr 0.011157 | mom 0.933 | 97.8 min
epoca   76 | train 0.62764 | val 0.62645 | AUC 0.7008 | lr 0.010936 | mom 0.934 | 99.1 min
epoca   77 | train 0.62766 | val 0.62635 | AUC 0.7011 | lr 0.010719 | mom 0.934 | 100.4 min
epoca   78 | train 0.62756 | val 0.62582 | AUC 0.7017 | lr 0.010507 | mom 0.935 | 101.7 min
epoca   79 | train 0.62750 | val 0.62807 | AUC 0.6995 | lr 0.010299 | mom 0.935 | 103.0 min
epoca   80 | train 0.62745 | val 0.62591 | AUC 0.7015 | lr 0.010095 | mom 0.936 | 104.3 min
epoca   81 | train 0.62734 | val 0.62579 | AUC 0.7015 | lr 0.009895 | mom 0.936 | 105.6 min
epoca   82 | train 0.62734 | val 0.62629 | AUC 0.7027 | lr 0.009699 | mom 0.936 | 106.9 min
epoca   83 | train 0.62730 | val 0.62836 | AUC 0.7021 | lr 0.009507 | mom 0.937 | 108.3 min
epoca   84 | train 0.62729 | val 0.62554 | AUC 0.7022 | lr 0.009319 | mom 0.937 | 109.6 min
epoca   85 | train 0.62715 | val 0.62530 | AUC 0.7022 | lr 0.009134 | mom 0.938 | 110.9 min
epoca   86 | train 0.62720 | val 0.62964 | AUC 0.6993 | lr 0.008953 | mom 0.938 | 112.2 min
epoca   87 | train 0.62714 | val 0.62541 | AUC 0.7023 | lr 0.008776 | mom 0.939 | 113.6 min
epoca   88 | train 0.62705 | val 0.62575 | AUC 0.7020 | lr 0.008602 | mom 0.939 | 114.9 min
epoca   89 | train 0.62700 | val 0.62723 | AUC 0.7006 | lr 0.008432 | mom 0.940 | 116.1 min
epoca   90 | train 0.62696 | val 0.62660 | AUC 0.7021 | lr 0.008265 | mom 0.940 | 117.5 min
epoca   91 | train 0.62692 | val 0.62731 | AUC 0.6997 | lr 0.008101 | mom 0.941 | 118.8 min
epoca   92 | train 0.62688 | val 0.62659 | AUC 0.7007 | lr 0.007941 | mom 0.941 | 120.1 min
epoca   93 | train 0.62682 | val 0.62604 | AUC 0.7013 | lr 0.007784 | mom 0.941 | 121.4 min
epoca   94 | train 0.62679 | val 0.62615 | AUC 0.7017 | lr 0.007630 | mom 0.942 | 122.7 min
epoca   95 | train 0.62671 | val 0.62685 | AUC 0.7002 | lr 0.007478 | mom 0.942 | 124.0 min
epoca   96 | train 0.62669 | val 0.62568 | AUC 0.7024 | lr 0.007330 | mom 0.943 | 125.3 min
epoca   97 | train 0.62667 | val 0.62634 | AUC 0.7006 | lr 0.007185 | mom 0.943 | 126.6 min
epoca   98 | train 0.62660 | val 0.62493 | AUC 0.7027 | lr 0.007043 | mom 0.944 | 127.9 min
epoca   99 | train 0.62654 | val 0.62587 | AUC 0.7024 | lr 0.006903 | mom 0.944 | 129.2 min
epoca  100 | train 0.62655 | val 0.62746 | AUC 0.6996 | lr 0.006767 | mom 0.945 | 130.5 min
