============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca   88 | train 0.46942 | val 0.47002 | AUC 0.8550 | lr 0.008602 | mom 0.939 | 124.6 min
epoca   89 | train 0.46920 | val 0.47117 | AUC 0.8553 | lr 0.008432 | mom 0.940 | 126.0 min
epoca   90 | train 0.46855 | val 0.46959 | AUC 0.8552 | lr 0.008265 | mom 0.940 | 127.4 min
epoca   91 | train 0.46826 | val 0.46995 | AUC 0.8555 | lr 0.008101 | mom 0.941 | 128.9 min
epoca   92 | train 0.46774 | val 0.46814 | AUC 0.8569 | lr 0.007941 | mom 0.941 | 130.3 min
epoca   93 | train 0.46745 | val 0.46763 | AUC 0.8568 | lr 0.007784 | mom 0.941 | 131.7 min
epoca   94 | train 0.46717 | val 0.46746 | AUC 0.8566 | lr 0.007630 | mom 0.942 | 133.1 min
epoca   95 | train 0.46686 | val 0.46564 | AUC 0.8587 | lr 0.007478 | mom 0.942 | 134.5 min
epoca   96 | train 0.46641 | val 0.46797 | AUC 0.8574 | lr 0.007330 | mom 0.943 | 135.9 min
epoca   97 | train 0.46605 | val 0.46583 | AUC 0.8581 | lr 0.007185 | mom 0.943 | 137.4 min
epoca   98 | train 0.46569 | val 0.46737 | AUC 0.8580 | lr 0.007043 | mom 0.944 | 138.8 min
epoca   99 | train 0.46537 | val 0.46786 | AUC 0.8575 | lr 0.006903 | mom 0.944 | 140.2 min
epoca  100 | train 0.46500 | val 0.46366 | AUC 0.8593 | lr 0.006767 | mom 0.945 | 141.6 min
epoca  101 | train 0.46477 | val 0.46647 | AUC 0.8573 | lr 0.006633 | mom 0.945 | 143.0 min
epoca  102 | train 0.46447 | val 0.46366 | AUC 0.8593 | lr 0.006501 | mom 0.945 | 144.4 min
