============================================================
Configurazione : deep_low
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_low_seme0

epoca   79 | train 0.47007 | val 0.47115 | AUC 0.8542 | lr 0.000033 | mom 0.900 | 143.9 min
epoca   80 | train 0.47002 | val 0.47113 | AUC 0.8542 | lr 0.000033 | mom 0.900 | 145.7 min
epoca   81 | train 0.46995 | val 0.47150 | AUC 0.8540 | lr 0.000033 | mom 0.900 | 147.6 min
epoca   82 | train 0.46992 | val 0.47106 | AUC 0.8542 | lr 0.000033 | mom 0.900 | 149.4 min
epoca   83 | train 0.46987 | val 0.47088 | AUC 0.8544 | lr 0.000033 | mom 0.900 | 151.2 min
epoca   84 | train 0.46985 | val 0.47108 | AUC 0.8542 | lr 0.000033 | mom 0.900 | 153.0 min
epoca   85 | train 0.46980 | val 0.47105 | AUC 0.8542 | lr 0.000033 | mom 0.900 | 154.9 min
epoca   86 | train 0.46979 | val 0.47084 | AUC 0.8544 | lr 0.000033 | mom 0.900 | 156.7 min
epoca   87 | train 0.46974 | val 0.47072 | AUC 0.8544 | lr 0.000033 | mom 0.900 | 158.5 min
epoca   88 | train 0.46972 | val 0.47065 | AUC 0.8545 | lr 0.000033 | mom 0.900 | 160.3 min
epoca   89 | train 0.46968 | val 0.47070 | AUC 0.8544 | lr 0.000033 | mom 0.900 | 162.2 min
epoca   90 | train 0.46962 | val 0.47055 | AUC 0.8545 | lr 0.000033 | mom 0.900 | 164.0 min
epoca   91 | train 0.46963 | val 0.47044 | AUC 0.8546 | lr 0.000033 | mom 0.900 | 165.8 min
epoca   92 | train 0.46956 | val 0.47069 | AUC 0.8544 | lr 0.000033 | mom 0.900 | 167.6 min
epoca   93 | train 0.46955 | val 0.47105 | AUC 0.8544 | lr 0.000033 | mom 0.900 | 169.5 min
epoca   94 | train 0.46947 | val 0.47037 | AUC 0.8547 | lr 0.000033 | mom 0.900 | 171.3 min
epoca   95 | train 0.46940 | val 0.47074 | AUC 0.8544 | lr 0.000033 | mom 0.900 | 173.1 min
epoca   96 | train 0.46937 | val 0.47071 | AUC 0.8545 | lr 0.000033 | mom 0.900 | 174.9 min
epoca   97 | train 0.46929 | val 0.47002 | AUC 0.8549 | lr 0.000033 | mom 0.900 | 176.8 min
epoca   98 | train 0.46920 | val 0.47054 | AUC 0.8547 | lr 0.000033 | mom 0.900 | 178.6 min
epoca   99 | train 0.46910 | val 0.47038 | AUC 0.8546 | lr 0.000033 | mom 0.900 | 180.4 min
epoca  100 | train 0.46903 | val 0.47042 | AUC 0.8546 | lr 0.000033 | mom 0.900 | 182.2 min
epoca  101 | train 0.46900 | val 0.47006 | AUC 0.8549 | lr 0.000016 | mom 0.900 | 184.1 min
epoca  102 | train 0.46770 | val 0.46929 | AUC 0.8556 | lr 0.000016 | mom 0.900 | 185.9 min
epoca  103 | train 0.46774 | val 0.46905 | AUC 0.8556 | lr 0.000016 | mom 0.900 | 187.7 min
epoca  104 | train 0.46778 | val 0.46936 | AUC 0.8555 | lr 0.000016 | mom 0.900 | 189.5 min
epoca  105 | train 0.46784 | val 0.46907 | AUC 0.8557 | lr 0.000016 | mom 0.900 | 191.3 min
epoca  106 | train 0.46788 | val 0.46925 | AUC 0.8556 | lr 0.000016 | mom 0.900 | 193.2 min
epoca  107 | train 0.46791 | val 0.46925 | AUC 0.8555 | lr 0.000008 | mom 0.900 | 195.0 min
epoca  108 | train 0.46723 | val 0.46862 | AUC 0.8559 | lr 0.000008 | mom 0.900 | 196.8 min
epoca  109 | train 0.46715 | val 0.46872 | AUC 0.8558 | lr 0.000008 | mom 0.900 | 198.6 min
epoca  110 | train 0.46713 | val 0.46867 | AUC 0.8559 | lr 0.000008 | mom 0.900 | 200.5 min
epoca  111 | train 0.46708 | val 0.46861 | AUC 0.8559 | lr 0.000008 | mom 0.900 | 202.3 min
epoca  112 | train 0.46706 | val 0.46869 | AUC 0.8559 | lr 0.000004 | mom 0.900 | 204.1 min
epoca  113 | train 0.46681 | val 0.46847 | AUC 0.8561 | lr 0.000004 | mom 0.900 | 205.5 min
epoca  114 | train 0.46697 | val 0.46866 | AUC 0.8560 | lr 0.000004 | mom 0.900 | 206.7 min
epoca  115 | train 0.46715 | val 0.46883 | AUC 0.8559 | lr 0.000004 | mom 0.900 | 208.0 min
