============================================================
Configurazione : deep_complete
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_complete_seme0

epoca   89 | train 0.46469 | val 0.46505 | AUC 0.8578 | lr 0.000002 | mom 0.900 | 162.4 min
epoca   90 | train 0.46467 | val 0.46503 | AUC 0.8578 | lr 0.000002 | mom 0.900 | 164.2 min
epoca   91 | train 0.46465 | val 0.46503 | AUC 0.8578 | lr 0.000002 | mom 0.900 | 166.1 min
epoca   92 | train 0.46463 | val 0.46498 | AUC 0.8578 | lr 0.000001 | mom 0.900 | 167.9 min
epoca   93 | train 0.46453 | val 0.46493 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 169.7 min
epoca   94 | train 0.46451 | val 0.46490 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 171.5 min
epoca   95 | train 0.46451 | val 0.46489 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 173.4 min
epoca   96 | train 0.46450 | val 0.46491 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 175.2 min
epoca   97 | train 0.46448 | val 0.46492 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 177.0 min
epoca   98 | train 0.46443 | val 0.46487 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 178.8 min
epoca   99 | train 0.46443 | val 0.46486 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 180.7 min
epoca  100 | train 0.46442 | val 0.46485 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 182.5 min
epoca  101 | train 0.46442 | val 0.46485 | AUC 0.8579 | lr 0.000001 | mom 0.900 | 184.3 min
epoca  102 | train 0.46441 | val 0.46485 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 186.1 min
epoca  103 | train 0.46439 | val 0.46484 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 188.0 min
epoca  104 | train 0.46438 | val 0.46485 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 189.8 min
epoca  105 | train 0.46438 | val 0.46485 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 191.6 min
epoca  106 | train 0.46438 | val 0.46484 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 193.4 min
epoca  107 | train 0.46437 | val 0.46483 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 195.2 min
epoca  108 | train 0.46436 | val 0.46483 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 197.1 min
epoca  109 | train 0.46436 | val 0.46483 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 198.9 min
epoca  110 | train 0.46436 | val 0.46483 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 200.7 min
epoca  111 | train 0.46435 | val 0.46483 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 202.5 min
epoca  112 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 204.3 min
epoca  113 | train 0.46435 | val 0.46483 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 205.5 min
epoca  114 | train 0.46435 | val 0.46483 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 206.8 min
epoca  115 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 208.0 min
epoca  116 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 209.3 min
epoca  117 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 210.6 min
epoca  118 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 211.8 min
epoca  119 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 213.1 min
epoca  120 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 214.4 min
epoca  121 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 215.6 min
epoca  122 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 216.9 min
epoca  123 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 218.1 min
epoca  124 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 219.4 min
epoca  125 | train 0.46435 | val 0.46482 | AUC 0.8579 | lr 0.000000 | mom 0.900 | 220.7 min

Fermato: nessun miglioramento da 10 epoche.

Migliore perdita di validation: 0.46482
Epoche eseguite: 125
Tempo totale: 220.7 min

[seme 0] TEST: perdita 0.46459, AUC 0.8582

============================================================
deep_complete: AUC = 0.8582  (un solo seme)
semi inclusi  : [0]
valori singoli: [0.8582]
epoche         : [125]
============================================================
