============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [2, 3, 4, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme2

epoca   66 | train 0.51422 | val 0.52200 | AUC 0.8186 | lr 0.035475 | mom 0.929 | 19.0 min
epoca   67 | train 0.51435 | val 0.52239 | AUC 0.8168 | lr 0.035291 | mom 0.930 | 19.2 min
epoca   68 | train 0.51416 | val 0.51518 | AUC 0.8215 | lr 0.035108 | mom 0.930 | 19.5 min
epoca   69 | train 0.51391 | val 0.51648 | AUC 0.8213 | lr 0.034926 | mom 0.931 | 19.8 min
epoca   70 | train 0.51391 | val 0.51578 | AUC 0.8212 | lr 0.034745 | mom 0.931 | 20.1 min
epoca   71 | train 0.51392 | val 0.52357 | AUC 0.8219 | lr 0.034564 | mom 0.931 | 20.4 min
epoca   72 | train 0.51376 | val 0.51657 | AUC 0.8203 | lr 0.034385 | mom 0.932 | 20.7 min
epoca   73 | train 0.51372 | val 0.51571 | AUC 0.8224 | lr 0.034207 | mom 0.932 | 21.0 min
epoca   74 | train 0.51363 | val 0.51672 | AUC 0.8208 | lr 0.034029 | mom 0.933 | 21.3 min
epoca   75 | train 0.51375 | val 0.52274 | AUC 0.8193 | lr 0.033853 | mom 0.933 | 21.5 min
epoca   76 | train 0.51354 | val 0.51841 | AUC 0.8187 | lr 0.033677 | mom 0.934 | 21.8 min
epoca   77 | train 0.51340 | val 0.51467 | AUC 0.8217 | lr 0.033503 | mom 0.934 | 22.1 min
epoca   78 | train 0.51318 | val 0.51714 | AUC 0.8213 | lr 0.033329 | mom 0.935 | 22.4 min
epoca   79 | train 0.51321 | val 0.52000 | AUC 0.8209 | lr 0.033156 | mom 0.935 | 22.7 min
epoca   80 | train 0.51319 | val 0.51899 | AUC 0.8216 | lr 0.032984 | mom 0.936 | 23.0 min
epoca   81 | train 0.51322 | val 0.51575 | AUC 0.8221 | lr 0.032813 | mom 0.936 | 23.3 min
epoca   82 | train 0.51295 | val 0.52229 | AUC 0.8231 | lr 0.032643 | mom 0.936 | 23.6 min
epoca   83 | train 0.51274 | val 0.51337 | AUC 0.8235 | lr 0.032473 | mom 0.937 | 23.9 min
epoca   84 | train 0.51298 | val 0.51595 | AUC 0.8204 | lr 0.032305 | mom 0.937 | 24.2 min
