============================================================
Configurazione : shallow_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_complete_seme0

epoca   82 | train 0.53940 | val 0.53682 | AUC 0.8031 | lr 0.009699 | mom 0.936 | 109.6 min
epoca   83 | train 0.53934 | val 0.53715 | AUC 0.8035 | lr 0.009507 | mom 0.937 | 110.9 min
epoca   84 | train 0.53930 | val 0.53677 | AUC 0.8033 | lr 0.009319 | mom 0.937 | 112.3 min
epoca   85 | train 0.53921 | val 0.53577 | AUC 0.8041 | lr 0.009134 | mom 0.938 | 113.6 min
epoca   86 | train 0.53921 | val 0.53940 | AUC 0.8017 | lr 0.008953 | mom 0.938 | 115.0 min
epoca   87 | train 0.53916 | val 0.53676 | AUC 0.8034 | lr 0.008776 | mom 0.939 | 116.3 min
epoca   88 | train 0.53908 | val 0.53701 | AUC 0.8027 | lr 0.008602 | mom 0.939 | 117.6 min
epoca   89 | train 0.53901 | val 0.53790 | AUC 0.8025 | lr 0.008432 | mom 0.940 | 119.0 min
epoca   90 | train 0.53897 | val 0.53831 | AUC 0.8030 | lr 0.008265 | mom 0.940 | 120.4 min
epoca   91 | train 0.53884 | val 0.53731 | AUC 0.8026 | lr 0.008101 | mom 0.941 | 121.7 min
epoca   92 | train 0.53887 | val 0.53541 | AUC 0.8045 | lr 0.007941 | mom 0.941 | 123.0 min
epoca   93 | train 0.53880 | val 0.53634 | AUC 0.8036 | lr 0.007784 | mom 0.941 | 124.3 min
epoca   94 | train 0.53874 | val 0.53650 | AUC 0.8041 | lr 0.007630 | mom 0.942 | 125.7 min
epoca   95 | train 0.53872 | val 0.53677 | AUC 0.8034 | lr 0.007478 | mom 0.942 | 127.0 min
epoca   96 | train 0.53864 | val 0.53951 | AUC 0.8021 | lr 0.007330 | mom 0.943 | 128.3 min
epoca   97 | train 0.53858 | val 0.53633 | AUC 0.8038 | lr 0.007185 | mom 0.943 | 129.6 min
epoca   98 | train 0.53851 | val 0.53794 | AUC 0.8029 | lr 0.007043 | mom 0.944 | 131.0 min
epoca   99 | train 0.53845 | val 0.53480 | AUC 0.8049 | lr 0.006903 | mom 0.944 | 132.3 min
epoca  100 | train 0.53841 | val 0.53697 | AUC 0.8036 | lr 0.006767 | mom 0.945 | 133.6 min
epoca  101 | train 0.53836 | val 0.53891 | AUC 0.8037 | lr 0.006633 | mom 0.945 | 135.0 min
epoca  102 | train 0.53831 | val 0.53713 | AUC 0.8031 | lr 0.006501 | mom 0.945 | 136.3 min
epoca  103 | train 0.53829 | val 0.53675 | AUC 0.8034 | lr 0.006373 | mom 0.946 | 137.7 min
epoca  104 | train 0.53828 | val 0.53823 | AUC 0.8033 | lr 0.006247 | mom 0.946 | 139.0 min
epoca  105 | train 0.53819 | val 0.54694 | AUC 0.8023 | lr 0.006123 | mom 0.947 | 140.3 min
epoca  106 | train 0.53815 | val 0.53862 | AUC 0.8028 | lr 0.006002 | mom 0.947 | 141.8 min
epoca  107 | train 0.53810 | val 0.53684 | AUC 0.8030 | lr 0.005883 | mom 0.948 | 143.1 min
epoca  108 | train 0.53803 | val 0.53769 | AUC 0.8027 | lr 0.005766 | mom 0.948 | 144.4 min
epoca  109 | train 0.53803 | val 0.53623 | AUC 0.8039 | lr 0.005652 | mom 0.949 | 145.8 min
epoca  110 | train 0.53796 | val 0.53655 | AUC 0.8035 | lr 0.005540 | mom 0.949 | 147.1 min
epoca  111 | train 0.53791 | val 0.53803 | AUC 0.8024 | lr 0.005430 | mom 0.950 | 148.5 min
epoca  112 | train 0.53785 | val 0.53623 | AUC 0.8043 | lr 0.005323 | mom 0.950 | 149.9 min
epoca  113 | train 0.53781 | val 0.53663 | AUC 0.8034 | lr 0.005218 | mom 0.950 | 151.2 min
epoca  114 | train 0.53784 | val 0.53532 | AUC 0.8044 | lr 0.005114 | mom 0.951 | 152.6 min
