============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0, 1, 2]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca  105 | train 0.51520 | val 0.52494 | AUC 0.8203 | lr 0.028963 | mom 0.947 | 30.2 min
epoca  106 | train 0.51503 | val 0.51404 | AUC 0.8222 | lr 0.028813 | mom 0.947 | 30.5 min
epoca  107 | train 0.51529 | val 0.51626 | AUC 0.8202 | lr 0.028663 | mom 0.948 | 30.8 min
epoca  108 | train 0.51513 | val 0.51796 | AUC 0.8203 | lr 0.028515 | mom 0.948 | 31.1 min
epoca  109 | train 0.51484 | val 0.51802 | AUC 0.8199 | lr 0.028367 | mom 0.949 | 31.4 min
epoca  110 | train 0.51530 | val 0.51882 | AUC 0.8194 | lr 0.028220 | mom 0.949 | 31.7 min
epoca  111 | train 0.51527 | val 0.51871 | AUC 0.8192 | lr 0.028073 | mom 0.950 | 32.0 min
epoca  112 | train 0.51521 | val 0.52199 | AUC 0.8185 | lr 0.027928 | mom 0.950 | 32.3 min
epoca  113 | train 0.51531 | val 0.51739 | AUC 0.8207 | lr 0.027783 | mom 0.950 | 32.6 min
epoca  114 | train 0.51540 | val 0.51640 | AUC 0.8204 | lr 0.027639 | mom 0.951 | 32.8 min
epoca  115 | train 0.51587 | val 0.51801 | AUC 0.8191 | lr 0.027496 | mom 0.951 | 33.1 min
epoca  116 | train 0.51579 | val 0.51866 | AUC 0.8215 | lr 0.027353 | mom 0.952 | 33.4 min
epoca  117 | train 0.51558 | val 0.51876 | AUC 0.8196 | lr 0.027211 | mom 0.952 | 33.7 min
epoca  118 | train 0.51598 | val 0.51588 | AUC 0.8214 | lr 0.027070 | mom 0.953 | 34.0 min
epoca  119 | train 0.51581 | val 0.51422 | AUC 0.8231 | lr 0.026930 | mom 0.953 | 34.3 min
epoca  120 | train 0.51596 | val 0.51859 | AUC 0.8210 | lr 0.026790 | mom 0.954 | 34.6 min
epoca  121 | train 0.51633 | val 0.51731 | AUC 0.8216 | lr 0.026651 | mom 0.954 | 34.8 min
epoca  122 | train 0.51656 | val 0.52036 | AUC 0.8178 | lr 0.026513 | mom 0.954 | 35.1 min
epoca  123 | train 0.51659 | val 0.51976 | AUC 0.8198 | lr 0.026375 | mom 0.955 | 35.4 min
epoca  124 | train 0.51690 | val 0.52430 | AUC 0.8165 | lr 0.026238 | mom 0.955 | 35.7 min
epoca  125 | train 0.51708 | val 0.51825 | AUC 0.8193 | lr 0.026102 | mom 0.956 | 36.0 min
epoca  126 | train 0.51730 | val 0.51970 | AUC 0.8198 | lr 0.025967 | mom 0.956 | 36.3 min
epoca  127 | train 0.51733 | val 0.51667 | AUC 0.8198 | lr 0.025832 | mom 0.957 | 36.6 min
epoca  128 | train 0.51760 | val 0.51472 | AUC 0.8220 | lr 0.025698 | mom 0.957 | 36.9 min
epoca  129 | train 0.51795 | val 0.53097 | AUC 0.8211 | lr 0.025565 | mom 0.958 | 37.2 min
epoca  130 | train 0.51803 | val 0.52355 | AUC 0.8151 | lr 0.025432 | mom 0.958 | 37.4 min
epoca  131 | train 0.51832 | val 0.51915 | AUC 0.8185 | lr 0.025300 | mom 0.959 | 37.7 min
epoca  132 | train 0.51824 | val 0.52027 | AUC 0.8181 | lr 0.025169 | mom 0.959 | 38.0 min
epoca  133 | train 0.51848 | val 0.51987 | AUC 0.8185 | lr 0.025039 | mom 0.959 | 38.3 min
